Word,Furigana,Romaji,JLPT,Hinshi,Golongan Kata Kerja,Bentuk Masu,Bentuk Negatif,Bentuk Lampau,Bentuk Te,Bentuk Potensial,Bentuk Keinginan,Bentuk Perintah,Bentuk Ajakan,Bentuk Kondisional,Bentuk Pasif,Bentuk Kausatif,Indonesia Meaning
ぶら下げる,ぶらさげる,burasageru,JLPT N2,Verb,Ichidan (Group 2),ぶら下げます,ぶら下げない,ぶら下げた,ぶら下げて,ぶら下げられる,ぶら下げたい,ぶら下げろ,ぶら下げよう,ぶら下げれば,ぶら下げられる,ぶら下げさせる,untuk menggantung; untuk menangguhkan
無沙汰する,ぶさたする,busatasuru,JLPT N2,Verb,Suru (Group 3),無沙汰します,無沙汰しない,無沙汰した,無沙汰して,無沙汰できる,無沙汰したい,無沙汰しろ,無沙汰しよう,無沙汰すれば,無沙汰される,無沙汰させる,"Tidak menulis atau menghubungi untuk sementara waktu; mengabaikan untuk menulis (menelepon, mengunjungi, dll.)"
打つかる,ぶつかる,butsukaru,JLPT N2,Verb,Godan (Group 1),打つかります,打つからない,打つかった,打つかって,打つかれる,打つかりたい,打つかれ,打つかろう,打つかれば,打つかられる,打つからせる,menabrak; bertabrakan dengan
打付ける,ぶつける,butsukeru,JLPT N2,Verb,Ichidan (Group 2),打付けます,打付けない,打付けた,打付けて,打付けられる,打付けたい,打付けろ,打付けよう,打付ければ,打付けられる,打付けさせる,memukul (misalnya kepala seseorang); menyerang
千切る,ちぎる,chigiru,JLPT N2,Verb,Godan (Group 1),千切ります,千切らない,千切った,千切って,千切れる,千切りたい,千切れ,千切ろう,千切れば,千切られる,千切らせる,merobek-robek hingga hancur; mencabik-cabik hingga berkeping-keping
縮める,ちぢめる,chijimeru,JLPT N2,Verb,Ichidan (Group 2),縮めます,縮めない,縮めた,縮めて,縮められる,縮めたい,縮めろ,縮めよう,縮めれば,縮められる,縮めさせる,memperpendek; mengurangi
縮む,ちぢむ,chijimu,JLPT N2,Verb,Godan (Group 1),縮みます,縮まない,縮んだ,縮んで,縮める,縮みたい,縮め,縮もう,縮めば,縮まれる,縮ませる,menyusut; mengerut
縮れる,ちぢれる,chijireru,JLPT N2,Verb,Ichidan (Group 2),縮れます,縮れない,縮れた,縮れて,縮れられる,縮れたい,縮れろ,縮れよう,縮れれば,縮れられる,縮れさせる,menjadi bergelombang; untuk digulung
誓う,ちかう,chikau,JLPT N2,Verb,Godan (Group 1),誓います,誓わない,誓った,誓って,誓える,誓いたい,誓え,誓おう,誓えば,誓われる,誓わせる,bersumpah; berjanji
近寄る,ちかよる,chikayoru,JLPT N2,Verb,Godan (Group 1),近寄ります,近寄らない,近寄った,近寄って,近寄れる,近寄りたい,近寄れ,近寄ろう,近寄れば,近寄られる,近寄らせる,mendekati; datang mendekat
近づける,ちかづける,chikazukeru,JLPT N2,Verb,Ichidan (Group 2),近づけます,近づけない,近づけた,近づけて,近づけられる,近づけたい,近づけろ,近づけよう,近づければ,近づけられる,近づけさせる,mendekatkan; menempatkan rapat
散らかる,ちらかる,chirakaru,JLPT N2,Verb,Godan (Group 1),散らかります,散らからない,散らかった,散らかって,散らかれる,散らかりたい,散らかれ,散らかろう,散らかれば,散らかられる,散らからせる,berada dalam keadaan berantakan; tergeletak berserakan di mana-mana
散らかす,ちらかす,chirakasu,JLPT N2,Verb,Godan (Group 1),散らかします,散らかさない,散らかした,散らかして,散らかせる,散らかしたい,散らかせ,散らかそう,散らかせば,散らかされる,散らかさせる,untuk menyebarkan ke mana-mana; untuk membiarkan tidak rapi
散らす,ちらす,chirasu,JLPT N2,Verb,Godan (Group 1),散らします,散らさない,散らした,散らして,散らせる,散らしたい,散らせ,散らそう,散らせば,散らされる,散らさせる,untuk menyebarkan; menyebabkan hujan
散る,ちる,chiru,JLPT N2,Verb,Godan (Group 1),散ります,散らない,散った,散って,散れる,散りたい,散れ,散ろう,散れば,散られる,散らせる,"jatuh (misalnya, bunga, daun)"
直通する,ちょくつうする,chokutsuusuru,JLPT N2,Verb,Suru (Group 3),直通します,直通しない,直通した,直通して,直通できる,直通したい,直通しろ,直通しよう,直通すれば,直通される,直通させる,jalur langsung; komunikasi langsung
超過する,ちょうかする,choukasuru,JLPT N2,Verb,Suru (Group 3),超過します,超過しない,超過した,超過して,超過できる,超過したい,超過しろ,超過しよう,超過すれば,超過される,超過させる,berlebih; ​​lebih dari
彫刻する,ちょうこくする,choukokusuru,JLPT N2,Verb,Suru (Group 3),彫刻します,彫刻しない,彫刻した,彫刻して,彫刻できる,彫刻したい,彫刻しろ,彫刻しよう,彫刻すれば,彫刻される,彫刻させる,ukiran; pahatan
調整する,ちょうせいする,chouseisuru,JLPT N2,Verb,Suru (Group 3),調整します,調整しない,調整した,調整して,調整できる,調整したい,調整しろ,調整しよう,調整すれば,調整される,調整させる,penyesuaian; regulasi
調節する,ちょうせつする,chousetsusuru,JLPT N2,Verb,Suru (Group 3),調節します,調節しない,調節した,調節して,調節できる,調節したい,調節しろ,調節しよう,調節すれば,調節される,調節させる,regulasi; penyesuaian
貯蔵する,ちょぞうする,chozousuru,JLPT N2,Verb,Suru (Group 3),貯蔵します,貯蔵しない,貯蔵した,貯蔵して,貯蔵できる,貯蔵したい,貯蔵しろ,貯蔵しよう,貯蔵すれば,貯蔵される,貯蔵させる,penyimpanan; pengawetan
ダイヤルする,ダイヤルする,daiyarusuru,JLPT N2,Verb,Suru (Group 3),ダイヤルします,ダイヤルしない,ダイヤルした,ダイヤルして,ダイヤルできる,ダイヤルしたい,ダイヤルしろ,ダイヤルしよう,ダイヤルすれば,ダイヤルされる,ダイヤルさせる,tombol putar
騙す,だます,damasu,JLPT N2,Verb,Godan (Group 1),騙します,騙さない,騙した,騙して,騙せる,騙したい,騙せ,騙そう,騙せば,騙される,騙させる,untuk menipu; untuk mengakali
断水する,だんすいする,dansuisuru,JLPT N2,Verb,Suru (Group 3),断水します,断水しない,断水した,断水して,断水できる,断水したい,断水しろ,断水しよう,断水すれば,断水される,断水させる,pemadaman air
断定する,だんていする,danteisuru,JLPT N2,Verb,Suru (Group 3),断定します,断定しない,断定した,断定して,断定できる,断定したい,断定しろ,断定しよう,断定すれば,断定される,断定させる,kesimpulan; keputusan
脱線する,だっせんする,dassensuru,JLPT N2,Verb,Suru (Group 3),脱線します,脱線しない,脱線した,脱線して,脱線できる,脱線したい,脱線しろ,脱線しよう,脱線すれば,脱線される,脱線させる,penggelinciran
出入りする,でいりする,deirisuru,JLPT N2,Verb,Suru (Group 3),出入りします,出入りしない,出入りした,出入りして,出入りできる,出入りしたい,出入りしろ,出入りしよう,出入りすれば,出入りされる,出入りさせる,masuk dan keluar; datang dan pergi
出来上がる,できあがる,dekiagaru,JLPT N2,Verb,Godan (Group 1),出来上がります,出来上がらない,出来上がった,出来上がって,出来上がれる,出来上がりたい,出来上がれ,出来上がろう,出来上がれば,出来上がられる,出来上がらせる,untuk diselesaikan; untuk rampung
凸凹する,でこぼこする,dekobokosuru,JLPT N2,Verb,Suru (Group 3),凸凹します,凸凹しない,凸凹した,凸凹して,凸凹できる,凸凹したい,凸凹しろ,凸凹しよう,凸凹すれば,凸凹される,凸凹させる,ketidakrataan; kekasaran
伝染する,でんせんする,densensuru,JLPT N2,Verb,Suru (Group 3),伝染します,伝染しない,伝染した,伝染して,伝染できる,伝染したい,伝染しろ,伝染しよう,伝染すれば,伝染される,伝染させる,penularan; infeksi
退く,どく,doku,JLPT N2,Verb,Godan (Group 1),退きます,退かない,退いた,退いて,退ける,退きたい,退け,退こう,退けば,退かれる,退かせる,"untuk minggir; untuk menyingkir (yaitu, menyingkir)"
怒鳴る,どなる,donaru,JLPT N2,Verb,Godan (Group 1),怒鳴ります,怒鳴らない,怒鳴った,怒鳴って,怒鳴れる,怒鳴りたい,怒鳴れ,怒鳴ろう,怒鳴れば,怒鳴られる,怒鳴らせる,berteriak; menjerit
動作する,どうさする,dousasuru,JLPT N2,Verb,Suru (Group 3),動作します,動作しない,動作した,動作して,動作できる,動作したい,動作しろ,動作しよう,動作すれば,動作される,動作させる,tindakan; gerakan
遠足する,えんそくする,ensokusuru,JLPT N2,Verb,Suru (Group 3),遠足します,遠足しない,遠足した,遠足して,遠足できる,遠足したい,遠足しろ,遠足しよう,遠足すれば,遠足される,遠足させる,tamasya; tamasya
深まる,ふかまる,fukamaru,JLPT N2,Verb,Godan (Group 1),深まります,深まらない,深まった,深まって,深まれる,深まりたい,深まれ,深まろう,深まれば,深まられる,深まらせる,untuk memperdalam; untuk meningkatkan
更ける,ふける,fukeru,JLPT N2,Verb,Ichidan (Group 2),更けます,更けない,更けた,更けて,更けられる,更けたい,更けろ,更けよう,更ければ,更けられる,更けさせる,terlambat; maju
拭く,ふく,fuku,JLPT N2,Verb,Godan (Group 1),拭きます,拭かない,拭いた,拭いて,拭ける,拭きたい,拭け,拭こう,拭けば,拭かれる,拭かせる,untuk menyeka; untuk mengeringkan
含める,ふくめる,fukumeru,JLPT N2,Verb,Ichidan (Group 2),含めます,含めない,含めた,含めて,含められる,含めたい,含めろ,含めよう,含めれば,含められる,含めさせる,untuk memasukkan (dalam suatu kelompok atau lingkup)
膨らむ,ふくらむ,fukuramu,JLPT N2,Verb,Godan (Group 1),膨らみます,膨らまない,膨らんだ,膨らんで,膨らめる,膨らみたい,膨らめ,膨らもう,膨らめば,膨らまれる,膨らませる,mengembang; membesar
複写する,ふくしゃする,fukushasuru,JLPT N2,Verb,Suru (Group 3),複写します,複写しない,複写した,複写して,複写できる,複写したい,複写しろ,複写しよう,複写すれば,複写される,複写させる,salin; gandakan
噴火する,ふんかする,funkasuru,JLPT N2,Verb,Suru (Group 3),噴火します,噴火しない,噴火した,噴火して,噴火できる,噴火したい,噴火しろ,噴火しよう,噴火すれば,噴火される,噴火させる,letusan
振る舞う,ふるまう,furumau,JLPT N2,Verb,Godan (Group 1),振る舞います,振る舞わない,振る舞った,振る舞って,振る舞える,振る舞いたい,振る舞え,振る舞おう,振る舞えば,振る舞われる,振る舞わせる,berperilaku; bersikap
塞がる,ふさがる,fusagaru,JLPT N2,Verb,Godan (Group 1),塞がります,塞がらない,塞がった,塞がって,塞がれる,塞がりたい,塞がれ,塞がろう,塞がれば,塞がられる,塞がらせる,tertutup; terhalang
塞ぐ,ふさぐ,fusagu,JLPT N2,Verb,Godan (Group 1),塞ぎます,塞がない,塞いだ,塞いで,塞げる,塞ぎたい,塞げ,塞ごう,塞げば,塞がれる,塞がせる,untuk menyumbat; untuk menutup
フワフワする,フワフワする,fuwafuwasuru,JLPT N2,Verb,Suru (Group 3),フワフワします,フワフワしない,フワフワした,フワフワして,フワフワできる,フワフワしたい,フワフワしろ,フワフワしよう,フワフワすれば,フワフワされる,フワフワさせる,"ringan (mengapung, hanyut, dll.); mengapung"
増やす,ふやす,fuyasu,JLPT N2,Verb,Godan (Group 1),増やします,増やさない,増やした,増やして,増やせる,増やしたい,増やせ,増やそう,増やせば,増やされる,増やさせる,untuk meningkatkan; untuk menambah
巫山戯る,ふざける,fuzakeru,JLPT N2,Verb,Ichidan (Group 2),巫山戯ます,巫山戯ない,巫山戯た,巫山戯て,巫山戯られる,巫山戯たい,巫山戯ろ,巫山戯よう,巫山戯れば,巫山戯られる,巫山戯させる,bercanda; bergurau
付属する,ふぞくする,fuzokusuru,JLPT N2,Verb,Suru (Group 3),付属します,付属しない,付属した,付属して,付属できる,付属したい,付属しろ,付属しよう,付属すれば,付属される,付属させる,terlampir; milik (dari)
概論する,がいろんする,gaironsuru,JLPT N2,Verb,Suru (Group 3),概論します,概論しない,概論した,概論して,概論できる,概論したい,概論しろ,概論しよう,概論すれば,概論される,概論させる,Pendahuluan; garis besar
激増する,げきぞうする,gekizousuru,JLPT N2,Verb,Suru (Group 3),激増します,激増しない,激増した,激増して,激増できる,激増したい,激増しろ,激増しよう,激増すれば,激増される,激増させる,peningkatan tiba-tiba
下車する,げしゃする,geshasuru,JLPT N2,Verb,Suru (Group 3),下車します,下車しない,下車した,下車して,下車できる,下車したい,下車しろ,下車しよう,下車すれば,下車される,下車させる,"turun (dari kereta, bus, dll.); pergi"
ご無沙汰する,ごぶさたする,gobusatasuru,JLPT N2,Verb,Suru (Group 3),ご無沙汰します,ご無沙汰しない,ご無沙汰した,ご無沙汰して,ご無沙汰できる,ご無沙汰したい,ご無沙汰しろ,ご無沙汰しよう,ご無沙汰すれば,ご無沙汰される,ご無沙汰させる,"Tidak menulis atau menghubungi untuk sementara waktu; mengabaikan (gagal) untuk menulis (menelepon, mengunjungi, dll.)"
娯楽する,ごらくする,gorakusuru,JLPT N2,Verb,Suru (Group 3),娯楽します,娯楽しない,娯楽した,娯楽して,娯楽できる,娯楽したい,娯楽しろ,娯楽しよう,娯楽すれば,娯楽される,娯楽させる,kesenangan; hiburan
合同する,ごうどうする,goudousuru,JLPT N2,Verb,Suru (Group 3),合同します,合同しない,合同した,合同して,合同できる,合同したい,合同しろ,合同しよう,合同すれば,合同される,合同させる,kombinasi; persatuan
合流する,ごうりゅうする,gouryuusuru,JLPT N2,Verb,Suru (Group 3),合流します,合流しない,合流した,合流して,合流できる,合流したい,合流しろ,合流しよう,合流すれば,合流される,合流させる,pertemuan (sungai); penggabungan (lalu lintas)
行列する,ぎょうれつする,gyouretsusuru,JLPT N2,Verb,Suru (Group 3),行列します,行列しない,行列した,行列して,行列できる,行列したい,行列しろ,行列しよう,行列すれば,行列される,行列させる,barisan; antrean
生える,はえる,haeru,JLPT N2,Verb,Ichidan (Group 2),生えます,生えない,生えた,生えて,生えられる,生えたい,生えろ,生えよう,生えれば,生えられる,生えさせる,tumbuh; muncul
剥がす,はがす,hagasu,JLPT N2,Verb,Godan (Group 1),剥がします,剥がさない,剥がした,剥がして,剥がせる,剥がしたい,剥がせ,剥がそう,剥がせば,剥がされる,剥がさせる,merobek; mengupas
はきはきする,はきはきする,hakihakisuru,JLPT N2,Verb,Suru (Group 3),はきはきします,はきはきしない,はきはきした,はきはきして,はきはきできる,はきはきしたい,はきはきしろ,はきはきしよう,はきはきすれば,はきはきされる,はきはきさせる,dengan cepat; dengan cerdas
発揮する,はっきする,hakkisuru,JLPT N2,Verb,Suru (Group 3),発揮します,発揮しない,発揮した,発揮して,発揮できる,発揮したい,発揮しろ,発揮しよう,発揮すれば,発揮される,発揮させる,pameran; demonstrasi
掃く,はく,haku,JLPT N2,Verb,Godan (Group 1),掃きます,掃かない,掃いた,掃いて,掃ける,掃きたい,掃け,掃こう,掃けば,掃かれる,掃かせる,menyapu; menyikat
嵌める,はめる,hameru,JLPT N2,Verb,Ichidan (Group 2),嵌めます,嵌めない,嵌めた,嵌めて,嵌められる,嵌めたい,嵌めろ,嵌めよう,嵌めれば,嵌められる,嵌めさせる,memasukkan; menempatkan (sehingga pas dengan rapat)
歯磨きする,はみがきする,hamigakisuru,JLPT N2,Verb,Suru (Group 3),歯磨きします,歯磨きしない,歯磨きした,歯磨きして,歯磨きできる,歯磨きしたい,歯磨きしろ,歯磨きしよう,歯磨きすれば,歯磨きされる,歯磨きさせる,menyikat gigi; menggosok gigi
放れる,はなれる,hanareru,JLPT N2,Verb,Ichidan (Group 2),放れます,放れない,放れた,放れて,放れられる,放れたい,放れろ,放れよう,放れれば,放れられる,放れさせる,untuk mendapatkan gratis; untuk dibebaskan
話し合いする,はなしあいする,hanashiaisuru,JLPT N2,Verb,Suru (Group 3),話し合いします,話し合いしない,話し合いした,話し合いして,話し合いできる,話し合いしたい,話し合いしろ,話し合いしよう,話し合いすれば,話し合いされる,話し合いさせる,diskusi; konferensi
話しかける,はなしかける,hanashikakeru,JLPT N2,Verb,Ichidan (Group 2),話しかけます,話しかけない,話しかけた,話しかけて,話しかけられる,話しかけたい,話しかけろ,話しかけよう,話しかければ,話しかけられる,話しかけさせる,untuk menyapa (seseorang); untuk mendekati seseorang
反映する,はんえいする,haneisuru,JLPT N2,Verb,Suru (Group 3),反映します,反映しない,反映した,反映して,反映できる,反映したい,反映しろ,反映しよう,反映すれば,反映される,反映させる,"refleksi (cahaya, gambar, situasi, sikap, dll.); mencerminkan"
跳ねる,はねる,haneru,JLPT N2,Verb,Ichidan (Group 2),跳ねます,跳ねない,跳ねた,跳ねて,跳ねられる,跳ねたい,跳ねろ,跳ねよう,跳ねれば,跳ねられる,跳ねさせる,melompat; meloncat
反省する,はんせいする,hanseisuru,JLPT N2,Verb,Suru (Group 3),反省します,反省しない,反省した,反省して,反省できる,反省したい,反省しろ,反省しよう,反省すれば,反省される,反省させる,refleksi; pertimbangan ulang
払い込む,はらいこむ,haraikomu,JLPT N2,Verb,Godan (Group 1),払い込みます,払い込まない,払い込んだ,払い込んで,払い込める,払い込みたい,払い込め,払い込もう,払い込めば,払い込まれる,払い込ませる,menyetor; membayar
払い戻す,はらいもどす,haraimodosu,JLPT N2,Verb,Godan (Group 1),払い戻します,払い戻さない,払い戻した,払い戻して,払い戻せる,払い戻したい,払い戻せ,払い戻そう,払い戻せば,払い戻される,払い戻させる,untuk membayar kembali; untuk mengembalikan
張り切る,はりきる,harikiru,JLPT N2,Verb,Godan (Group 1),張り切ります,張り切らない,張り切った,張り切って,張り切れる,張り切りたい,張り切れ,張り切ろう,張り切れば,張り切られる,張り切らせる,bersemangat; penuh semangat
挟まる,はさまる,hasamaru,JLPT N2,Verb,Godan (Group 1),挟まります,挟まらない,挟まった,挟まって,挟まれる,挟まりたい,挟まれ,挟まろう,挟まれば,挟まられる,挟まらせる,terjebak di antara; terperangkap di dalam
挟む,はさむ,hasamu,JLPT N2,Verb,Godan (Group 1),挟みます,挟まない,挟んだ,挟んで,挟める,挟みたい,挟め,挟もう,挟めば,挟まれる,挟ませる,untuk menyela; untuk menahan di antara
発射する,はっしゃする,hasshasuru,JLPT N2,Verb,Suru (Group 3),発射します,発射しない,発射した,発射して,発射できる,発射したい,発射しろ,発射しよう,発射すれば,発射される,発射させる,penembakan; tembakan
発想する,はっそうする,hassousuru,JLPT N2,Verb,Suru (Group 3),発想します,発想しない,発想した,発想して,発想できる,発想したい,発想しろ,発想しよう,発想すれば,発想される,発想させる,ide; konsepsi
発売する,はつばいする,hatsubaisuru,JLPT N2,Verb,Suru (Group 3),発売します,発売しない,発売した,発売して,発売できる,発売したい,発売しろ,発売しよう,発売すれば,発売される,発売させる,penjualan; penawaran untuk dijual
発電する,はつでんする,hatsudensuru,JLPT N2,Verb,Suru (Group 3),発電します,発電しない,発電した,発電して,発電できる,発電したい,発電しろ,発電しよう,発電すれば,発電される,発電させる,generasi (misalnya kekuasaan)
這う,はう,hau,JLPT N2,Verb,Godan (Group 1),這います,這わない,這った,這って,這える,這いたい,這え,這おう,這えば,這われる,這わせる,merayap; merangkak
流行る,はやる,hayaru,JLPT N2,Verb,Godan (Group 1),流行ります,流行らない,流行った,流行って,流行れる,流行りたい,流行れ,流行ろう,流行れば,流行られる,流行らせる,menjadi populer; menjadi tren
外れる,はずれる,hazureru,JLPT N2,Verb,Ichidan (Group 2),外れます,外れない,外れた,外れて,外れられる,外れたい,外れろ,外れよう,外れれば,外れられる,外れさせる,terputus; keluar dari tempatnya
隔てる,へだてる,hedateru,JLPT N2,Verb,Ichidan (Group 2),隔てます,隔てない,隔てた,隔てて,隔てられる,隔てたい,隔てろ,隔てよう,隔てれば,隔てられる,隔てさせる,"untuk memisahkan (berdasarkan jarak, waktu, dll.); untuk mengisolasi"
並行する,へいこうする,heikousuru,JLPT N2,Verb,Suru (Group 3),並行します,並行しない,並行した,並行して,並行できる,並行したい,並行しろ,並行しよう,並行すれば,並行される,並行させる,(berjalan) berdampingan; sejajar
凹む,へこむ,hekomu,JLPT N2,Verb,Godan (Group 1),凹みます,凹まない,凹んだ,凹んで,凹める,凹みたい,凹め,凹もう,凹めば,凹まれる,凹ませる,penyok; berlekuk
編集する,へんしゅうする,henshuusuru,JLPT N2,Verb,Suru (Group 3),編集します,編集しない,編集した,編集して,編集できる,編集したい,編集しろ,編集しよう,編集すれば,編集される,編集させる,penyuntingan; kompilasi
響く,ひびく,hibiku,JLPT N2,Verb,Godan (Group 1),響きます,響かない,響いた,響いて,響ける,響きたい,響け,響こう,響けば,響かれる,響かせる,bergaung; terdengar dari jauh
引き返す,ひきかえす,hikikaesu,JLPT N2,Verb,Godan (Group 1),引き返します,引き返さない,引き返した,引き返して,引き返せる,引き返したい,引き返せ,引き返そう,引き返せば,引き返される,引き返させる,berbalik; kembali
引き止める,ひきとめる,hikitomeru,JLPT N2,Verb,Ichidan (Group 2),引き止めます,引き止めない,引き止めた,引き止めて,引き止められる,引き止めたい,引き止めろ,引き止めよう,引き止めれば,引き止められる,引き止めさせる,menahan; memeriksa
引き受ける,ひきうける,hikiukeru,JLPT N2,Verb,Ichidan (Group 2),引き受けます,引き受けない,引き受けた,引き受けて,引き受けられる,引き受けたい,引き受けろ,引き受けよう,引き受ければ,引き受けられる,引き受けさせる,untuk mengambil alih; untuk menjalankan
引き算する,ひきざんする,hikizansuru,JLPT N2,Verb,Suru (Group 3),引き算します,引き算しない,引き算した,引き算して,引き算できる,引き算したい,引き算しろ,引き算しよう,引き算すれば,引き算される,引き算させる,pengurangan
引っかかる,ひっかかる,hikkakaru,JLPT N2,Verb,Godan (Group 1),引っかかります,引っかからない,引っかかった,引っかかって,引っかかれる,引っかかりたい,引っかかれ,引っかかろう,引っかかれば,引っかかられる,引っかからせる,terjebak; terperangkap
